model,feature_set,split,params,MAE,RMSE,training_time_seconds
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.01, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",63.724670036718244,88.00914250412319,1.9662350001744926
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.01, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",64.16286738156276,103.02070153482063,3.184139374876395
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",64.27053013138965,96.0914207360165,8.439881874946877
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",64.84719143875314,89.46508296318123,2.008551999926567
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",64.9816918104569,95.65746228921016,8.31289125001058
GradientBoostingRegressor,F1,validation,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",67.28413723658332,88.97865203109845,2.977444084128365
GradientBoostingRegressor,F1,validation,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",67.28413723658332,88.97865203109845,2.91885729203932
GradientBoostingRegressor,F0,validation,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",70.13494648459606,94.81802081751253,2.333624874940142
GradientBoostingRegressor,F0,validation,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",70.13494648459606,94.81802081751253,2.2596616249065846
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",71.67007155532121,103.97144505950986,4.674752583028749
GradientBoostingRegressor,F1,validation,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",74.89035590885038,98.3330316986274,2.014696541009471
GradientBoostingRegressor,F1,validation,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'random_state': 42}",75.50846144386564,99.92312221055073,2.903713666833937
