model,feature_set,split,params,MAE,RMSE,training_time_seconds,n_estimators
GradientBoostingRegressor,F1,validation,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2}",86.20841820282618,112.5410493796943,2.0374337919056416,300.0
GradientBoostingRegressor,F1,validation,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 2}",82.50330789974569,108.38208170528752,2.635491000022739,400.0
GradientBoostingRegressor,F1,validation,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 2}",81.74054096990002,107.95230719290872,1.3124855000060052,200.0
GradientBoostingRegressor,F1,validation,"{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 3}",54.82154460896625,75.87049827255899,2.896988666849211,300.0
GradientBoostingRegressor,F1,validation,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 3}",53.049024716717696,74.18767801790366,3.855969165917486,400.0
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (64,), 'alpha': 0.0001, 'learning_rate_init': 0.001}",111.19505316915819,146.93042170458693,3.8201912499498576,
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (128,), 'alpha': 0.0001, 'learning_rate_init': 0.001}",105.44218613615678,142.41942009479502,6.006207500118762,
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.0001, 'learning_rate_init': 0.001}",68.219332607434,95.92073232118692,6.47836891701445,
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (128,), 'alpha': 0.001, 'learning_rate_init': 0.001}",105.49843555383525,142.44258929886382,6.129491416970268,
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (64,), 'alpha': 0.001, 'learning_rate_init': 0.01}",67.34819979035947,94.92812270560613,4.0259763749782,
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (64,), 'alpha': 0.0001, 'learning_rate_init': 0.001}",64.01309284674736,95.09879320091373,4.051853624871001,
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (128,), 'alpha': 0.0001, 'learning_rate_init': 0.001}",64.11217650776169,96.96975042240128,6.35474683297798,
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.0001, 'learning_rate_init': 0.001}",57.00095826713328,81.24769820239382,6.476929666940123,
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (128,), 'alpha': 0.001, 'learning_rate_init': 0.001}",64.12612225693123,97.0504958255431,6.283255208982155,
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (64,), 'alpha': 0.001, 'learning_rate_init': 0.01}",56.597575762127946,83.18374505977667,1.9711998749990016,
